Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
dealers,Chrome 64.0.3282.186,,2018-03-06 16:07:16,2018-03-06 16:10:26,3m - 9.808s,PASSED
,,,,,,
Test Cases/Dealers Module/Dealer/verify_AddDealer,Chrome 64.0.3282.186,Test Case ID: 474\nTest Case Description: Verifies if a Dealer is added successfully,2018-03-06 16:07:17,2018-03-06 16:10:12,2m - 55.232s,PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-06 16:07:19,2018-03-06 16:08:53,1m - 34.802s,PASSED
mouseOver,Chrome 64.0.3282.186,,2018-03-06 16:08:53,2018-03-06 16:08:54,0.823s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:08:54,2018-03-06 16:08:57,3.012s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:08:57,2018-03-06 16:09:05,7.417s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:05,2018-03-06 16:09:08,3.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:08,2018-03-06 16:09:09,1.691s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:09,2018-03-06 16:09:12,3.007s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:12,2018-03-06 16:09:13,1.035s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:13,2018-03-06 16:09:16,3.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:16,2018-03-06 16:09:18,1.209s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:18,2018-03-06 16:09:21,3.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:21,2018-03-06 16:09:21,0.498s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:21,2018-03-06 16:09:24,3.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:24,2018-03-06 16:09:25,0.538s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:25,2018-03-06 16:09:28,3.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:28,2018-03-06 16:09:28,0.440s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:28,2018-03-06 16:09:31,3.004s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:31,2018-03-06 16:09:33,1.474s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:33,2018-03-06 16:09:36,3.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:36,2018-03-06 16:09:36,0.352s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:36,2018-03-06 16:09:42,5.814s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:42,2018-03-06 16:09:43,1.456s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:43,2018-03-06 16:09:44,1.172s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:44,2018-03-06 16:09:45,0.723s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:45,2018-03-06 16:09:46,0.532s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:46,2018-03-06 16:09:46,0.379s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:46,2018-03-06 16:09:47,0.707s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:47,2018-03-06 16:09:47,0.612s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:47,2018-03-06 16:09:48,1.041s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:48,2018-03-06 16:09:50,1.342s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:50,2018-03-06 16:09:50,0.527s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:50,2018-03-06 16:09:51,0.716s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:51,2018-03-06 16:09:54,3.004s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:09:54,2018-03-06 16:09:54,0.361s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:09:54,2018-03-06 16:09:57,3.002s,PASSED
check,Chrome 64.0.3282.186,,2018-03-06 16:09:57,2018-03-06 16:09:59,1.647s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 16:09:59,2018-03-06 16:10:00,0.826s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:10:00,2018-03-06 16:10:00,0.235s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:10:00,2018-03-06 16:10:03,3.006s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:10:03,2018-03-06 16:10:03,0.212s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-06 16:10:03,2018-03-06 16:10:06,3.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-06 16:10:06,2018-03-06 16:10:07,0.272s,PASSED
