Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Receipt of Consignment,Chrome 64.0.3282.167,,2018-02-23 07:43:01,2018-02-23 07:43:53,51.570s,PASSED
,,,,,,
Test Cases/Inventory Module/Manifest Upload/validate_csv File Extension Required,Chrome 64.0.3282.167,The File should be in csv format,2018-02-23 07:43:02,2018-02-23 07:43:53,51.097s,PASSED
"Statement - location = java.lang.System.getenv(""USERPROFILE"")",Chrome 64.0.3282.167,,2018-02-23 07:43:03,2018-02-23 07:43:03,0.010s,PASSED
"Statement - fileLocation = location + ""/git/MKOPA-RegressionTestingV2/Manifest Files/wrongformat.docx""",Chrome 64.0.3282.167,,2018-02-23 07:43:03,2018-02-23 07:43:03,0.004s,PASSED
manifestUploads.wrongfileFormat.wrongfileFormat,Chrome 64.0.3282.167,,2018-02-23 07:43:03,2018-02-23 07:43:03,0.145s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 07:43:03,2018-02-23 07:43:05,2.122s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 07:43:05,2018-02-23 07:43:19,13.762s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 07:43:19,2018-02-23 07:43:52,32.603s,PASSED
verifyElementVisible,Chrome 64.0.3282.167,,2018-02-23 07:43:52,2018-02-23 07:43:52,0.135s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-23 07:43:52,2018-02-23 07:43:53,0.974s,PASSED
