Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
manifest Upload,Chrome 64.0.3282.167,,2018-02-23 10:34:34,2018-02-23 10:40:17,5m - 42.057s,FAILED
,,,,,,
Test Cases/Inventory Module/Manifest Upload/validate_Data Duplicates in the Database,Chrome 64.0.3282.167,Validates that data stored in the Database should not be Duplicates,2018-02-23 10:34:35,2018-02-23 10:35:42,1m - 7.400s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:34:36,2018-02-23 10:34:55,19.286s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:34:55,2018-02-23 10:34:57,2.018s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:34:57,2018-02-23 10:35:31,34.252s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:35:31,2018-02-23 10:35:41,10.004s,PASSED
verifyElementVisible,Chrome 64.0.3282.167,,2018-02-23 10:35:41,2018-02-23 10:35:41,0.150s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-23 10:35:41,2018-02-23 10:35:42,0.974s,PASSED
,,,,,,
Test Cases/Inventory Module/Manifest Upload/validate_Shipping Date Required,Chrome 64.0.3282.167,Validate the Shipping Date is Required,2018-02-23 10:35:42,2018-02-23 10:37:07,1m - 25.076s,FAILED
manifestUploads.PrimaryDevice.primaryDevice,Chrome 64.0.3282.167,,2018-02-23 10:35:43,2018-02-23 10:35:43,0.074s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:35:43,2018-02-23 10:35:45,2.001s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:35:45,2018-02-23 10:35:58,13.413s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:35:58,2018-02-23 10:36:36,37.198s,PASSED
verifyElementVisible,Chrome 64.0.3282.167,,2018-02-23 10:36:36,2018-02-23 10:37:07,31.900s,FAILED
,,,,,,
Test Cases/Inventory Module/Manifest Upload/validate_Duplicate Consignment No,Chrome 64.0.3282.167,Validates the consignment Number should be Unique,2018-02-23 10:37:08,2018-02-23 10:38:07,59.782s,PASSED
manifestUploads.PrimaryDevice.primaryDevice,Chrome 64.0.3282.167,,2018-02-23 10:37:08,2018-02-23 10:37:08,0.026s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:37:08,2018-02-23 10:37:10,2.005s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:37:10,2018-02-23 10:37:26,16.011s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:37:26,2018-02-23 10:38:06,39.990s,PASSED
verifyElementVisible,Chrome 64.0.3282.167,,2018-02-23 10:38:06,2018-02-23 10:38:06,0.107s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-23 10:38:06,2018-02-23 10:38:07,1.129s,PASSED
,,,,,,
Test Cases/Inventory Module/Manifest Upload/validate_csv File Extension Required,Chrome 64.0.3282.167,The File should be in csv format,2018-02-23 10:38:07,2018-02-23 10:39:07,59.962s,PASSED
"Statement - location = java.lang.System.getenv(""USERPROFILE"")",Chrome 64.0.3282.167,,2018-02-23 10:38:08,2018-02-23 10:38:08,0.001s,PASSED
"Statement - fileLocation = location + ""/git/MKOPA-RegressionTestingV2/Manifest Files/wrongformat.docx""",Chrome 64.0.3282.167,,2018-02-23 10:38:08,2018-02-23 10:38:08,0.001s,PASSED
manifestUploads.wrongfileFormat.wrongfileFormat,Chrome 64.0.3282.167,,2018-02-23 10:38:08,2018-02-23 10:38:08,0.086s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:38:08,2018-02-23 10:38:10,2.004s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:38:10,2018-02-23 10:38:29,18.898s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:38:29,2018-02-23 10:39:06,37.420s,PASSED
verifyElementVisible,Chrome 64.0.3282.167,,2018-02-23 10:39:06,2018-02-23 10:39:06,0.100s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-23 10:39:06,2018-02-23 10:39:07,1.049s,PASSED
,,,,,,
Test Cases/Inventory Module/Manifest Upload/verify_Uploading metered Item Manifest,Chrome 64.0.3282.167,TestCase 138 :\n\nUploading a Primary Device Item Manifest that is Correctly Formatted and in csv Format,2018-02-23 10:39:07,2018-02-23 10:40:16,1m - 8.871s,PASSED
manifestUploads.PrimaryDevice.primaryDevice,Chrome 64.0.3282.167,,2018-02-23 10:39:08,2018-02-23 10:39:08,0.032s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:39:08,2018-02-23 10:39:10,2.003s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:39:10,2018-02-23 10:39:28,18.266s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-23 10:39:28,2018-02-23 10:40:04,35.420s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:40:04,2018-02-23 10:40:08,4.003s,PASSED
check,Chrome 64.0.3282.167,,2018-02-23 10:40:08,2018-02-23 10:40:08,0.192s,PASSED
click,Chrome 64.0.3282.167,,2018-02-23 10:40:08,2018-02-23 10:40:08,0.172s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:40:08,2018-02-23 10:40:10,2.005s,PASSED
Statement - successMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Inventory Module/Device Manifest Upload/section_Manifest Details)),Chrome 64.0.3282.167,,2018-02-23 10:40:10,2018-02-23 10:40:10,0.184s,PASSED
verifyEqual,Chrome 64.0.3282.167,,2018-02-23 10:40:10,2018-02-23 10:40:10,0.025s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-23 10:40:10,2018-02-23 10:40:15,5.002s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-23 10:40:15,2018-02-23 10:40:16,0.933s,PASSED
