Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Payments,Chrome 64.0.3282.140,Test Suite for Customer Payments Test Cases,2018-02-08 10:58:25,2018-02-08 11:06:52,8m - 26.769s,FAILED
,,,,,,
Test Cases/Payments/Customer Payments/verify_Customer Payment,Chrome 64.0.3282.140,Steps\n\n1. Upload mpesa Payment File \n2. Payments\n3. Verify if Payment is Visible to Recent Customer Payments,2018-02-08 10:58:26,2018-02-08 11:00:52,2m - 26.017s,FAILED
callTestCase,Chrome 64.0.3282.140,,2018-02-08 10:58:27,2018-02-08 11:00:52,2m - 24.392s,FAILED
,,,,,,
Test Cases/Payments/Customer Payments/verify_Customer Status on paying deposit,Chrome 64.0.3282.140,,2018-02-08 11:00:52,2018-02-08 11:01:21,28.679s,FAILED
callTestCase,Chrome 64.0.3282.140,,2018-02-08 11:00:52,2018-02-08 11:00:52,0.015s,NOT_RUN
delay,Chrome 64.0.3282.140,,2018-02-08 11:00:52,2018-02-08 11:00:57,5.003s,PASSED
click,Chrome 64.0.3282.140,,2018-02-08 11:00:57,2018-02-08 11:00:58,0.190s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-08 11:00:58,2018-02-08 11:00:58,0.219s,PASSED
click,Chrome 64.0.3282.140,,2018-02-08 11:00:58,2018-02-08 11:01:20,22.276s,PASSED
verifyTextPresent,Chrome 64.0.3282.140,,2018-02-08 11:01:20,2018-02-08 11:01:21,0.555s,FAILED
,,,,,,
Test Cases/Payments/Customer Payment Notitfication (SMS)/verify_Sms sent on correct amount deposited,Chrome 64.0.3282.140,,2018-02-08 11:01:21,2018-02-08 11:01:44,23.042s,FAILED
callTestCase,Chrome 64.0.3282.140,,2018-02-08 11:01:21,2018-02-08 11:01:44,22.789s,FAILED
,,,,,,
Test Cases/Payments/Search For Payments/Search For Payment Using a Receipt Number,Chrome 64.0.3282.140,,2018-02-08 11:01:44,2018-02-08 11:03:03,1m - 19.613s,PASSED
callTestCase,Chrome 64.0.3282.140,,2018-02-08 11:01:44,2018-02-08 11:02:23,38.814s,PASSED
click,Chrome 64.0.3282.140,,2018-02-08 11:02:23,2018-02-08 11:02:23,0.137s,PASSED
delay,Chrome 64.0.3282.140,,2018-02-08 11:02:23,2018-02-08 11:02:28,5.002s,PASSED
click,Chrome 64.0.3282.140,,2018-02-08 11:02:28,2018-02-08 11:02:29,1.225s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-08 11:02:29,2018-02-08 11:02:30,0.369s,PASSED
click,Chrome 64.0.3282.140,,2018-02-08 11:02:30,2018-02-08 11:03:03,33.188s,PASSED
takeScreenshot,Chrome 64.0.3282.140,,2018-02-08 11:03:03,2018-02-08 11:03:03,0.341s,PASSED
,,,,,,
Test Cases/Payments/Credit Purchase Payment Upload/verify_Credit purchase,Chrome 64.0.3282.140,ID: 16688\ncredits increase proportionally upon making a payment,2018-02-08 11:03:03,2018-02-08 11:04:56,1m - 52.572s,FAILED
callTestCase,Chrome 64.0.3282.140,,2018-02-08 11:03:04,2018-02-08 11:04:56,1m - 52.215s,FAILED
,,,,,,
Test Cases/Payments/Credit Purchase Payment Upload/verify_credit sent,Chrome 64.0.3282.140,,2018-02-08 11:04:56,2018-02-08 11:06:51,1m - 55.106s,FAILED
callTestCase,Chrome 64.0.3282.140,,2018-02-08 11:04:57,2018-02-08 11:06:51,1m - 54.665s,FAILED
